helyezes;odds;ev;futamszam;DB;div
1;51.5;2012.07.22;Startidõ: 18:08 Éves futamszám: 138.;24;Dividends/ HUF
1;39.5;2012.07.22;Startidõ: 18:37 Éves futamszám: 139.;24;Dividends/ HUF
1;39;2012.07.22;Startidõ: 16:35 Éves futamszám: 135.;22;Dividends/ HUF
1;72.5;2012.07.29;Startidõ: 18:41 Éves futamszám: 149.;14;Dividends/ HUF
1;76;2012.07.29;Startidõ: 17:42 Éves futamszám: 147.;12;Dividends/ HUF
2;620;2012.07.22;Startidõ: 18:08 Éves futamszám: 138.;24;Dividends/ HUF
2;2420;2012.07.22;Startidõ: 18:37 Éves futamszám: 139.;24;Dividends/ HUF
2;580;2012.07.22;Startidõ: 16:35 Éves futamszám: 135.;22;Dividends/ HUF
2;1020;2012.07.29;Startidõ: 18:41 Éves futamszám: 149.;14;Dividends/ HUF
2;560;2012.07.29;Startidõ: 17:42 Éves futamszám: 147.;12;Dividends/ HUF
3;50.5;2012.07.22;Startidõ: 18:08 Éves futamszám: 138.;24;Dividends/ HUF
3;45.5;2012.07.22;Startidõ: 18:37 Éves futamszám: 139.;24;Dividends/ HUF
3;37;2012.07.22;Startidõ: 16:35 Éves futamszám: 135.;22;Dividends/ HUF
3;72;2012.07.29;Startidõ: 18:41 Éves futamszám: 149.;14;Dividends/ HUF
3;71.5;2012.07.29;Startidõ: 17:42 Éves futamszám: 147.;12;Dividends/ HUF
4;2600;2012.07.22;Startidõ: 18:08 Éves futamszám: 138.;24;Dividends/ HUF
4;1600;2012.07.22;Startidõ: 18:37 Éves futamszám: 139.;24;Dividends/ HUF
4;3160;2012.07.22;Startidõ: 16:35 Éves futamszám: 135.;22;Dividends/ HUF
4;0;2012.07.29;Startidõ: 18:41 Éves futamszám: 149.;14;Dividends/ HUF
4;480;2012.07.29;Startidõ: 17:42 Éves futamszám: 147.;12;Dividends/ HUF
5;50.5;2012.07.22;Startidõ: 18:08 Éves futamszám: 138.;24;Dividends/ HUF
5;38;2012.07.22;Startidõ: 18:37 Éves futamszám: 139.;24;Dividends/ HUF
5;28;2012.07.22;Startidõ: 16:35 Éves futamszám: 135.;22;Dividends/ HUF
5;71.5;2012.07.29;Startidõ: 18:41 Éves futamszám: 149.;14;Dividends/ HUF
5;69.5;2012.07.29;Startidõ: 17:42 Éves futamszám: 147.;12;Dividends/ HUF
6;3260;2012.07.22;Startidõ: 18:08 Éves futamszám: 138.;24;Dividends/ HUF
6;1600;2012.07.22;Startidõ: 18:37 Éves futamszám: 139.;24;Dividends/ HUF
6;3800;2012.07.22;Startidõ: 16:35 Éves futamszám: 135.;22;Dividends/ HUF
6;1260;2012.07.29;Startidõ: 18:41 Éves futamszám: 149.;14;Dividends/ HUF
6;1820;2012.07.29;Startidõ: 17:42 Éves futamszám: 147.;12;Dividends/ HUF
7;44.5;2012.07.22;Startidõ: 18:08 Éves futamszám: 138.;24;Dividends/ HUF
7;37.5;2012.07.22;Startidõ: 18:37 Éves futamszám: 139.;24;Dividends/ HUF
7;29;2012.07.22;Startidõ: 16:35 Éves futamszám: 135.;22;Dividends/ HUF
7;70;2012.07.29;Startidõ: 18:41 Éves futamszám: 149.;14;Dividends/ HUF
7;65;2012.07.29;Startidõ: 17:42 Éves futamszám: 147.;12;Dividends/ HUF
8;720;2012.07.22;Startidõ: 18:08 Éves futamszám: 138.;24;Dividends/ HUF
8;2420;2012.07.22;Startidõ: 18:37 Éves futamszám: 139.;24;Dividends/ HUF
8;1260;2012.07.22;Startidõ: 16:35 Éves futamszám: 135.;22;Dividends/ HUF
8;220;2012.07.29;Startidõ: 18:41 Éves futamszám: 149.;14;Dividends/ HUF
8;800;2012.07.29;Startidõ: 17:42 Éves futamszám: 147.;12;Dividends/ HUF
9;39.5;2012.07.22;Startidõ: 18:08 Éves futamszám: 138.;24;Dividends/ HUF
9;42.5;2012.07.22;Startidõ: 18:37 Éves futamszám: 139.;24;Dividends/ HUF
9;26.5;2012.07.22;Startidõ: 16:35 Éves futamszám: 135.;22;Dividends/ HUF
9;67;2012.07.29;Startidõ: 18:41 Éves futamszám: 149.;14;Dividends/ HUF
9;0;2012.07.29;Startidõ: 17:42 Éves futamszám: 147.;12;Dividends/ HUF
10;1440;2012.07.22;Startidõ: 18:08 Éves futamszám: 138.;24;Dividends/ HUF
10;9700;2012.07.22;Startidõ: 18:37 Éves futamszám: 139.;24;Dividends/ HUF
10;2100;2012.07.22;Startidõ: 16:35 Éves futamszám: 135.;22;Dividends/ HUF
10;0;2012.07.29;Startidõ: 18:41 Éves futamszám: 149.;14;Dividends/ HUF
10;1460;2012.07.29;Startidõ: 17:42 Éves futamszám: 147.;12;Dividends/ HUF
11;39;2012.07.22;Startidõ: 18:08 Éves futamszám: 138.;24;Dividends/ HUF
11;46;2012.07.22;Startidõ: 18:37 Éves futamszám: 139.;24;Dividends/ HUF
11;26;2012.07.22;Startidõ: 16:35 Éves futamszám: 135.;22;Dividends/ HUF
11;67.5;2012.07.29;Startidõ: 18:41 Éves futamszám: 149.;14;Dividends/ HUF
11;0;2012.07.29;Startidõ: 17:42 Éves futamszám: 147.;12;Dividends/ HUF
12;6520;2012.07.22;Startidõ: 18:08 Éves futamszám: 138.;24;Dividends/ HUF
12;960;2012.07.22;Startidõ: 18:37 Éves futamszám: 139.;24;Dividends/ HUF
12;1400;2012.07.22;Startidõ: 16:35 Éves futamszám: 135.;22;Dividends/ HUF
12;2540;2012.07.29;Startidõ: 18:41 Éves futamszám: 149.;14;Dividends/ HUF
12;1040;2012.07.29;Startidõ: 17:42 Éves futamszám: 147.;12;Dividends/ HUF
13;33;2012.07.22;Startidõ: 18:08 Éves futamszám: 138.;24;Dividends/ HUF
13;32;2012.07.22;Startidõ: 18:37 Éves futamszám: 139.;24;Dividends/ HUF
13;25.5;2012.07.22;Startidõ: 16:35 Éves futamszám: 135.;22;Dividends/ HUF
13;66;2012.07.29;Startidõ: 18:41 Éves futamszám: 149.;14;Dividends/ HUF
14;1440;2012.07.22;Startidõ: 18:08 Éves futamszám: 138.;24;Dividends/ HUF
14;960;2012.07.22;Startidõ: 18:37 Éves futamszám: 139.;24;Dividends/ HUF
14;3800;2012.07.22;Startidõ: 16:35 Éves futamszám: 135.;22;Dividends/ HUF
14;1700;2012.07.29;Startidõ: 18:41 Éves futamszám: 149.;14;Dividends/ HUF
15;39.5;2012.07.22;Startidõ: 18:08 Éves futamszám: 138.;24;Dividends/ HUF
15;27;2012.07.22;Startidõ: 18:37 Éves futamszám: 139.;24;Dividends/ HUF
15;27.5;2012.07.22;Startidõ: 16:35 Éves futamszám: 135.;22;Dividends/ HUF
16;920;2012.07.22;Startidõ: 18:08 Éves futamszám: 138.;24;Dividends/ HUF
16;1940;2012.07.22;Startidõ: 18:37 Éves futamszám: 139.;24;Dividends/ HUF
16;4740;2012.07.22;Startidõ: 16:35 Éves futamszám: 135.;22;Dividends/ HUF
17;33;2012.07.22;Startidõ: 18:08 Éves futamszám: 138.;24;Dividends/ HUF
17;25.5;2012.07.22;Startidõ: 18:37 Éves futamszám: 139.;24;Dividends/ HUF
17;24;2012.07.22;Startidõ: 16:35 Éves futamszám: 135.;22;Dividends/ HUF
18;4340;2012.07.22;Startidõ: 18:08 Éves futamszám: 138.;24;Dividends/ HUF
18;680;2012.07.22;Startidõ: 18:37 Éves futamszám: 139.;24;Dividends/ HUF
18;1340;2012.07.22;Startidõ: 16:35 Éves futamszám: 135.;22;Dividends/ HUF
19;33;2012.07.22;Startidõ: 18:08 Éves futamszám: 138.;24;Dividends/ HUF
19;0;2012.07.22;Startidõ: 18:37 Éves futamszám: 139.;24;Dividends/ HUF
19;0;2012.07.22;Startidõ: 16:35 Éves futamszám: 135.;22;Dividends/ HUF
20;6520;2012.07.22;Startidõ: 18:08 Éves futamszám: 138.;24;Dividends/ HUF
20;3220;2012.07.22;Startidõ: 18:37 Éves futamszám: 139.;24;Dividends/ HUF
20;1340;2012.07.22;Startidõ: 16:35 Éves futamszám: 135.;22;Dividends/ HUF
21;25.5;2012.07.22;Startidõ: 18:08 Éves futamszám: 138.;24;Dividends/ HUF
21;0;2012.07.22;Startidõ: 18:37 Éves futamszám: 139.;24;Dividends/ HUF
21;0;2012.07.22;Startidõ: 16:35 Éves futamszám: 135.;22;Dividends/ HUF
22;2600;2012.07.22;Startidõ: 18:08 Éves futamszám: 138.;24;Dividends/ HUF
22;1380;2012.07.22;Startidõ: 18:37 Éves futamszám: 139.;24;Dividends/ HUF
22;940;2012.07.22;Startidõ: 16:35 Éves futamszám: 135.;22;Dividends/ HUF
23;0;2012.07.22;Startidõ: 18:08 Éves futamszám: 138.;24;Dividends/ HUF
23;0;2012.07.22;Startidõ: 18:37 Éves futamszám: 139.;24;Dividends/ HUF
24;6520;2012.07.22;Startidõ: 18:08 Éves futamszám: 138.;24;Dividends/ HUF
24;0;2012.07.22;Startidõ: 18:37 Éves futamszám: 139.;24;Dividends/ HUF
